Gene	log2FC
STX4	0.6672
SUPV3L1	0.5081
SUV39H1	1.3969
SUZ12	0.8555
SYPL1	0.9278
TARBP1	1.5275
TATDN2	0.8498
TBC1D9B	0.7094
TBP	0.5781
TBPL1	0.5501
TBX2	1.1096
TCERG1	0.6973
TCFL5	1.0046
TCTA	0.8551
TCTN1	0.6074
TES	0.9577
TESK1	0.7509
TFDP1	0.6316
THAP11	0.6491
TICAM1	0.5546
TIMELESS	1.254
TIMM17B	0.9164
TIMM9	0.6703
TJP1	0.5059
TLE1	1.0121
TLK2	0.6806
TLR4	-0.6063
TMCO1	1.0705
TMEM109	0.8624
TMEM5	0.5294
TMEM50A	0.8235
TMEM97	0.899
TNFRSF21	0.7565
TNIP1	0.7982
TOMM34	0.9673
TOP2A	3.39
TOPBP1	1.079
TP53	0.6184
TP53BP1	0.7884
TP53BP2	1.1497
TPD52L2	1.0796
TPM1	0.897
TRAPPC3	0.5946
TRAPPC6A	0.6386
TRIB1	-0.8306
TRIB3	0.8474
TSEN2	0.7697
TSPAN3	0.8436
TSTA3	1.0624
TWF2	1.1099
TXNDC9	0.6702
TXNRD1	2.1589
UBE2A	0.9634
UBE2C	3.1614
UBE3B	0.7988
UBE3C	0.8054
UBR7	0.6841
UGDH	0.8351
USP1	0.8781
USP14	0.8229
USP22	0.8924
UTP14A	0.8225
VAPB	0.7529
VAT1	1.2009
VDAC1	0.7027
VGLL4	0.951
VPS28	1.1805
VPS72	1.3952
WDR61	0.5989
WFS1	1.0668
WIPF2	0.7398
WRB	0.6694
XPNPEP1	0.5224
YKT6	1.2712
YME1L1	0.512
ZDHHC6	0.5667
ZFP36	-1.0975
ZMIZ1	0.7111
ZNF131	0.5415
ZNF318	0.9724
ZNF589	0.7826
ZW10	0.5621
